rep,id,k1,k2,A0,peak
34,4,0.297984,0.00776692,0.1507,73.2583
35,4,0.325604,0.00776692,0.094629,73.2583
36,4,0.359664,0.00521399,0.0873551,70.126
37,4,0.358246,0.00595095,0.107349,64.8397
38,4,0.466183,0.00661013,0.090094,70.4476
39,4,0.444651,0.00494095,0.117468,70.2072
40,4,0.404757,0.00695728,0.0460787,69.5419
41,4,0.379689,0.00572584,0.0694716,64.7241
42,4,0.368255,0.00421323,0.0619818,66.5831
43,4,0.352838,0.00463215,0.0525148,68.37
44,4,0.352838,0.00500343,0.0678567,68.4217
45,4,0.352838,0.00449034,0.0847863,67.0473
46,4,0.347497,0.00423694,0.0634264,73.4291
47,4,0.42743,0.00591979,0.0703931,71.9328
48,4,0.502398,0.00862197,0.0742253,69.6106
49,4,0.411291,0.00561852,0.0984233,67.8929
50,4,0.422275,0.00720652,0.0658371,65.3818
51,4,0.38592,0.00720652,0.0509338,65.7354
52,4,0.431628,0.00720652,0.0578618,73.8505
53,4,0.387583,0.00890987,0.0654185,72.0163
54,4,0.35744,0.00805671,0.0664177,73.039
55,4,0.427474,0.00758894,0.0541763,69.1742
56,4,0.316872,0.00513659,0.161367,68.1879
57,4,0.397384,0.00564237,0.048976,70.9528
58,4,0.375898,0.0053685,0.064035,74.3246
59,4,0.375898,0.00758061,0.0649256,65.5331
60,4,0.415389,0.00746841,0.0672322,68.224
61,4,0.36804,0.00787113,0.0466416,67.5365
62,4,0.342356,0.0078471,0.107402,67.1074
63,4,0.379596,0.00687615,0.070712,69.1878
64,4,0.340299,0.00699361,0.0508658,69.3871
65,4,0.343109,0.00608814,0.0860653,72.27
66,4,0.38433,0.00766012,0.0868805,70.805
67,4,0.438434,0.00932794,0.0825214,71.8822
68,4,0.393925,0.00757412,0.0766639,72.3999
69,4,0.368589,0.00447904,0.0957475,70.7586
70,4,0.358045,0.00801809,0.0982877,69.7832
71,4,0.345004,0.00803235,0.0789393,74.0184
72,4,0.394752,0.00740404,0.0507038,68.5007
73,4,0.386517,0.00740404,0.0507038,68.5007
