rep,id,k1,k2,A0,peak,Vaccine_Group
70,3,0.582406,6.32536e-05,0.00447576,67.6686,1ug Pfizer
71,3,0.588272,5.39831e-05,0.00768112,66.7005,1ug Pfizer
72,3,0.591256,0.000668502,0.00701044,66.4201,1ug Pfizer
73,3,0.580419,8.03219e-05,0.00939605,66.3716,1ug Pfizer
74,3,0.615318,4.91983e-05,0.00451549,66.9502,1ug Pfizer
75,3,0.591116,0.000523084,0.00389331,67.4809,1ug Pfizer
76,3,0.643512,0.00024917,0.0044237,66.7191,1ug Pfizer
77,3,0.527973,0.000144588,0.00675785,67.5022,1ug Pfizer
78,3,0.596703,7.41107e-05,0.00722061,66.6388,1ug Pfizer
79,3,0.527973,0.000104858,0.00675785,67.5022,1ug Pfizer
80,3,0.595389,0.000122794,0.00547525,66.7069,1ug Pfizer
81,3,0.62561,0.000191412,0.00329898,66.5418,1ug Pfizer
82,3,0.625341,8.8301e-05,0.00613772,67.0537,1ug Pfizer
83,3,0.581635,0.000125882,0.00754863,67.8299,1ug Pfizer
84,3,0.554047,0.000366914,0.00796589,67.4504,1ug Pfizer
85,3,0.626874,3.78536e-05,0.00295467,66.8124,1ug Pfizer
86,3,0.573225,0.000175206,0.00473716,67.8088,1ug Pfizer
87,3,0.587647,0.000270682,0.00712307,67.3342,1ug Pfizer
88,3,0.5446,0.000161426,0.00983821,67.3637,1ug Pfizer
89,3,0.581575,0.000165497,0.00701824,67.5873,1ug Pfizer
90,3,0.599995,7.15993e-05,0.00796027,66.8848,1ug Pfizer
91,3,0.542653,0.000156851,0.0117736,67.7756,1ug Pfizer
92,3,0.626637,5.47786e-05,0.00438346,67.3,1ug Pfizer
93,3,0.614566,0.000114421,0.00549927,66.7905,1ug Pfizer
94,3,0.560233,9.26098e-05,0.00645917,67.5248,1ug Pfizer
95,3,0.598235,0.00018194,0.00748395,66.9543,1ug Pfizer
96,3,0.582006,0.000133263,0.00820354,67.3707,1ug Pfizer
97,3,0.598235,0.000103655,0.00748395,66.9543,1ug Pfizer
98,3,0.575148,0.000128153,0.0098664,67.386,1ug Pfizer
99,3,0.626603,0.000310074,0.0062882,67.2209,1ug Pfizer
100,3,0.567164,0.000132467,0.00674194,66.958,1ug Pfizer
1,4,0.570382,7.5702e-05,0.0072501,66.9755,1ug Pfizer
2,4,0.653174,6.69211e-05,0.0031481,67.3737,1ug Pfizer
3,4,0.557809,7.58113e-05,0.0109631,66.5079,1ug Pfizer
4,4,0.578944,6.68344e-05,0.00685391,66.8471,1ug Pfizer
5,4,0.557423,8.39537e-05,0.0110611,66.0361,1ug Pfizer
6,4,0.57327,0.000615289,0.00592315,66.4691,1ug Pfizer
7,4,0.557423,0.000159121,0.0110611,66.0084,1ug Pfizer
8,4,0.591735,8.05077e-05,0.00461009,67.0578,1ug Pfizer
9,4,0.554617,0.000134664,0.00418601,66.5721,1ug Pfizer
10,4,0.561135,7.61462e-05,0.00611548,66.4808,1ug Pfizer
11,4,0.54782,0.000876661,0.00849244,67.0435,1ug Pfizer
12,4,0.555068,0.000381191,0.00958527,67.1097,1ug Pfizer
13,4,0.603638,0.000696071,0.00907907,67.0558,1ug Pfizer
14,4,0.621084,0.000250751,0.00473733,67.0491,1ug Pfizer
15,4,0.591943,5.7227e-05,0.00608495,67.9188,1ug Pfizer
16,4,0.56675,0.000122166,0.00483793,66.6953,1ug Pfizer
17,4,0.541745,0.000323474,0.00528964,66.8967,1ug Pfizer
18,4,0.581254,6.42417e-05,0.00686387,67.0159,1ug Pfizer
19,4,0.635347,4.31841e-05,0.00386565,67.6559,1ug Pfizer
20,4,0.572812,0.000141365,0.00463755,67.5796,1ug Pfizer
21,4,0.600534,0.000117893,0.00555027,67.4765,1ug Pfizer
22,4,0.528001,0.000205572,0.00658022,67.8926,1ug Pfizer
23,4,0.579158,0.000124866,0.00792181,66.738,1ug Pfizer
24,4,0.551419,7.00474e-05,0.0096342,66.5787,1ug Pfizer
25,4,0.575018,7.43258e-05,0.00950325,67.0717,1ug Pfizer
26,4,0.573657,0.000116148,0.00702229,66.3121,1ug Pfizer
27,4,0.582022,0.000112829,0.00661069,66.5444,1ug Pfizer
28,4,0.558313,6.84176e-05,0.0100141,66.9399,1ug Pfizer
29,4,0.576299,0.000164361,0.00608519,67.0244,1ug Pfizer
30,4,0.619476,0.000222507,0.00700292,67.6541,1ug Pfizer
31,4,0.586439,0.000122381,0.00616911,67.7939,1ug Pfizer
32,4,0.635358,0.000370727,0.00366751,67.5067,1ug Pfizer
33,4,0.561125,9.43881e-05,0.00693773,67.6783,1ug Pfizer
34,4,0.61131,0.000116926,0.00468035,67.8275,1ug Pfizer
35,4,0.543221,0.000693953,0.0103477,66.7558,1ug Pfizer
36,4,0.579614,0.000795311,0.00983059,66.96,1ug Pfizer
37,4,0.628154,8.88801e-05,0.00474648,67.6494,1ug Pfizer
38,4,0.579614,0.000117477,0.00983059,66.96,1ug Pfizer
39,4,0.583533,0.000208528,0.00470025,66.7111,1ug Pfizer
40,4,0.576871,0.000220599,0.00877208,67.8526,1ug Pfizer
41,4,0.573465,8.55724e-05,0.010314,67.0405,1ug Pfizer
42,4,0.583651,0.000432839,0.00576542,66.7522,1ug Pfizer
43,4,0.554296,0.000100768,0.00636999,66.2122,1ug Pfizer
44,4,0.590983,0.00090512,0.00635859,67.4429,1ug Pfizer
45,4,0.619884,2.9411e-05,0.00550878,66.9644,1ug Pfizer
46,4,0.590096,0.000149345,0.00432117,66.4505,1ug Pfizer
47,4,0.59079,0.000152147,0.00753446,66.3268,1ug Pfizer
48,4,0.597812,0.000201025,0.00512457,67.5505,1ug Pfizer
49,4,0.641631,0.000298972,0.00465346,66.3819,1ug Pfizer
50,4,0.597812,0.000201025,0.00512457,67.5505,1ug Pfizer
51,4,0.593397,0.000125112,0.00774606,67.2724,1ug Pfizer
52,4,0.590938,0.000229275,0.00952307,66.184,1ug Pfizer
53,4,0.577707,6.71655e-05,0.00874168,66.6636,1ug Pfizer
54,4,0.570674,0.000362529,0.00810129,67.3172,1ug Pfizer
55,4,0.553218,0.000149824,0.00371537,67.6418,1ug Pfizer
56,4,0.594209,0.000312114,0.007758,66.9797,1ug Pfizer
57,4,0.607075,0.000170021,0.00630143,67.4735,1ug Pfizer
